	platform_id	platform	neighborhood	property_type	housing_type	price_pcm	title	furnished	available_from	available_from_0	available_from_1	available_from_2
76	642347	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in Notting Hill, London	furnished	12 January 2023	12	January	2023
77	866987	spotahome	Kensington and Chelsea	studios	Studio	4615	Whole 1 bedrooms apartment in London	furnished	8 December	8	December	
78	603985	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio Apartment for rent in Kensington and Chelsea, London	furnished	10 December	10	December	
79	399036	spotahome	Kensington and Chelsea	studios	Studio	4981	Studio apartment for rent in Earl's Court, London	furnished	20 October	20	October	
80	343520	spotahome	Kensington and Chelsea	studios	Studio	2200	Furnished studio apartment to rent in Kensington, London	furnished	12 February 2023	12	February	2023
81	642358	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in Notting Hill, London	furnished	3 January 2023	3	January	2023
82	603973	spotahome	Kensington and Chelsea	studios	Studio	4654	Studio Apartment for rent in Kensington and Chelsea, London	furnished	7 January 2023	7	January	2023
83	345131	spotahome	Kensington and Chelsea	studios	Studio	2300	Studio apartment to rent in South Kensington, London	furnished	12 February 2023	12	February	2023
84	420083	spotahome	Kensington and Chelsea	studios	Studio	4500	One bedroom apartment for rent in Earl's Court, London	furnished	2 November	2	November	
85	343532	spotahome	Kensington and Chelsea	studios	Studio	2350	Stylish studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
86	352507	spotahome	Kensington and Chelsea	studios	Studio	3550	Elegant studio for rent in Earl's Court, London	furnished	20 December	20	December	
87	343496	spotahome	Kensington and Chelsea	studios	Studio	2000	Studio flat to rent in Kensington & Chelsea, London	furnished	12 February 2023	12	February	2023
88	343533	spotahome	Kensington and Chelsea	studios	Studio	2350	Studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
89	345574	spotahome	Kensington and Chelsea	studios	Studio	2600	Modern studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
90	343555	spotahome	Kensington and Chelsea	studios	Studio	2350	Sophisticated studio flat for rent in Kensington, London	furnished	12 February 2023	12	February	2023
91	343522	spotahome	Kensington and Chelsea	studios	Studio	2318	Cute studio apartment to rent in Kensington, London	furnished	12 February 2023	12	February	2023
92	642046	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio apartment for rent in South Kensington, London	furnished	31 January 2023	31	January	2023
93	345179	spotahome	Kensington and Chelsea	studios	Studio	2300	Studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
94	343556	spotahome	Kensington and Chelsea	studios	Studio	2350	Studio flat for rent in Kensington, London	furnished	12 February 2023	12	February	2023
95	398672	spotahome	Kensington and Chelsea	studios	Studio	5189	Studio apartment for rent in Kensington, London	furnished	22 November	22	November	
