	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
183	34900711	Rightmove	Camden	furnished	Studio		0.0		1950.0		1950.0		occupied	Long term	furnished	2022-10-27
184	126168023	Rightmove	Hammersmith and Fulham	furnished	Flat	80.0	2.0	2.0	5850.0	73.12	2925.0		occupied	Long term	furnished	2022-10-27
185	128278385	Rightmove	Kensington and Chelsea	furnished	Flat		2.0		4000.0		2000.0		occupied	Long term	flexible	2022-10-27
186	782657	Spotahome	Camden	furnished	Apartment	68.0	1.0	2.0	8668.0	127.47	8668.0	2022-12-09	occupied		furnished	2022-10-27
187	128470622	Rightmove	Tower Hamlets	furnished	Apartment	94.0	2.0	2.0	4550.0	48.4	2275.0	2022-11-10	occupied	Long term	furnished	2022-10-27
188	128313113	Rightmove	Kensington and Chelsea	furnished	Apartment		3.0	4.0	16250.0		5416.67	2022-10-28	available	Long term	furnished	2022-10-27
189	127973948	Rightmove	Hammersmith and Fulham	unfurnished	Flat	59.0	2.0	2.0	2600.0	44.07	1300.0		occupied	Long term	unfurnished	2022-10-27
190	127384466	Rightmove	Hackney	furnished	Flat		1.0	1.0	1850.0		1850.0		occupied	Long term	furnished	2022-10-27
191	127946408	Rightmove	Kensington and Chelsea	unfurnished	Flat		2.0	2.0	3792.0		1896.0		occupied	Long term	unfurnished	2022-10-27
192	85881249	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0	3.0	5720.0		1906.67	2022-10-28	available	Long term	flexible	2022-10-27
193	127243433	Rightmove	Camden	furnished	Penthouse		3.0	3.0	10812.0		3604.0	2022-11-10	occupied	Long term	flexible	2022-10-27
194	127976765	Rightmove	City of Westminster	unfurnished	Penthouse		3.0	3.0	12978.0		4326.0	2022-10-28	available	Long term	part furnished	2022-10-27
195	128365433	Rightmove	Hackney	unfurnished	Flat		1.0	1.0	2100.0		2100.0	2022-11-14	occupied	Long term	unfurnished	2022-10-27
196	128296598	Rightmove	Lambeth	furnished	Flat		2.0	2.0	5633.0		2816.5	2022-11-24	occupied	Long term	furnished	2022-10-27
197	128281157	Rightmove	City of Westminster	unfurnished	Flat		2.0	2.0	6825.0		3412.5		occupied	Long term	unfurnished	2022-10-27
198	128323397	Rightmove	Hackney	furnished	Flat		1.0	1.0	2200.0		2200.0	2022-12-09	occupied	Long term	furnished	2022-10-27
199	843222	Spotahome	Hackney	furnished	Apartment		3.0	1.0	9375.0		3125.0	2023-02-24	occupied		furnished	2022-10-27
200	127777823	Rightmove	City of Westminster	furnished	Flat		2.0	2.0	6500.0		3250.0		occupied	Long term	furnished	2022-10-27
201	128080856	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	1.0	3683.0		1841.5	2022-10-28	available	Long term	furnished	2022-10-27
202	128167586	Rightmove	City of Westminster	furnished	Flat		4.0	2.0	5416.0		1354.0		occupied	Long term	flexible	2022-10-27
203	128233433	Rightmove	Kensington and Chelsea	furnished	Apartment		1.0	1.0	2383.0		2383.0	2022-12-05	occupied	Long term	furnished	2022-10-27
204	128064686	Rightmove	City of Westminster	furnished	Flat	63.0	2.0	1.0	3684.0	58.48	1842.0		occupied	Long term	furnished	2022-10-27
205	641829	Spotahome	City of Westminster	furnished	Studio		0.0		4407.0		4407.0	2022-12-17	occupied		furnished	2022-10-27
206	125821820	Rightmove	Tower Hamlets	furnished	Penthouse	298.0	4.0	3.0	9100.0	30.54	2275.0	2022-10-28	available	Long term	flexible	2022-10-27
207	559894	Spotahome	Hackney	furnished	Apartment	80.0	2.0	2.0	4526.0	56.58	2263.0	2023-01-01	occupied		furnished	2022-10-27
208	128403176	Rightmove	Kensington and Chelsea	furnished	Flat		1.0	1.0	2000.0		2000.0	2022-12-07	occupied	Long term	flexible	2022-10-27
209	294850	Spotahome	Kensington and Chelsea	furnished	Apartment	48.0	1.0	1.0	4611.0	96.06	4611.0	2023-12-13	occupied		furnished	2022-10-27
210	128459873	Rightmove	Camden	furnished	Flat		2.0	2.0	2903.0		1451.5	2022-11-14	occupied	Long term	furnished	2022-10-27
211	127076609	Rightmove	Camden	furnished	Penthouse		5.0	5.0	11917.0		2383.4	2022-10-28	available	Long term	flexible	2022-10-27
212	115426988	Rightmove	Lambeth	furnished	Apartment	53.0	2.0	2.0	4720.0	89.06	2360.0	2023-07-12	occupied	Long term	furnished	2022-10-27
213	560998	Spotahome	Camden	furnished	Apartment	80.0	3.0	3.0	5299.0	66.24	1766.33	2023-01-01	occupied		furnished	2022-10-27
214	128379221	Rightmove	Tower Hamlets	unfurnished	Apartment		2.0	2.0	8667.0		4333.5		occupied	Long term	part furnished	2022-10-27
215	127436903	Rightmove	Hackney	furnished	Flat		2.0	1.0	2297.0		1148.5		occupied	Long term	furnished	2022-10-27
216	128359163	Rightmove	City of Westminster	furnished	Apartment		3.0	3.0	19500.0		6500.0	2022-12-16	occupied	Long term	furnished	2022-10-27
217	428394	Spotahome	Islington	furnished	Apartment		2.0		5277.5		2638.5	2023-01-10	occupied		furnished	2022-10-27
218	126972641	Rightmove	Islington	unfurnished	Flat		2.0	2.0	2816.0		1408.0	2022-11-01	occupied	Long term	part furnished	2022-10-27
219	127974167	Rightmove	Tower Hamlets	unfurnished	Flat	84.0	2.0		2600.0	30.95	1300.0		occupied	Long term	part furnished	2022-10-27
220	128332556	Rightmove	Lambeth	unfurnished	Flat		2.0	1.0	2990.0		1495.0	2022-10-28	available	Long term	unfurnished	2022-10-27
221	638040	Spotahome	Lambeth	furnished	Apartment		2.0	2.0	5950.0		2975.0	2023-09-07	occupied		furnished	2022-10-27
222	128264171	Rightmove	City of Westminster	furnished	Apartment		4.0	4.0	8428.0		2107.0	2022-10-28	available	Long term	flexible	2022-10-27
223	385942	Spotahome	Islington	furnished	Apartment		1.0	1.0	4629.0		4629.0	2024-10-27	occupied		furnished	2022-10-27
224	128337701	Rightmove	Tower Hamlets	furnished	Flat	107.0	2.0	2.0	3792.0	35.44	1896.0		occupied	Long term	furnished	2022-10-27
225	128435261	Rightmove	Tower Hamlets	unfurnished	Flat		2.0	2.0	1980.0		990.0	2022-11-01	occupied	Long term	unfurnished	2022-10-27
226	128438927	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	2.0	65000.0		32500.0	2022-10-28	available	Short term	furnished	2022-10-27
227	642014	Spotahome	Kensington and Chelsea	furnished	Studio		0.0		4900.0		4900.0	2022-10-27	available		furnished	2022-10-27
228	128315699	Rightmove	Camden	furnished	Studio		0.0		2037.0		2037.0	2022-10-28	available	Long term	furnished	2022-10-27
229	127914371	Rightmove	Lambeth	furnished	Studio		0.0	1.0	1300.0		1300.0	2022-11-05	occupied	Long term	furnished	2022-10-27
230	126930194	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	1.0	2578.0		1289.0	2022-10-28	available	Long term	furnished	2022-10-27
231	127696520	Rightmove	Tower Hamlets	furnished	Apartment		2.0	2.0	2500.0		1250.0	2022-10-28	available	Long term	flexible	2022-10-27
232	128348705	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	1.0	2817.0		1408.5	2022-11-30	occupied	Long term	furnished	2022-10-27
233	913364	Spotahome	City of Westminster	furnished	Apartment		1.0	2.0	5665.0		5665.0	2024-07-31	occupied		furnished	2022-10-27
234	128104781	Rightmove	Lambeth	furnished	Apartment		1.0	1.0	4117.0		4117.0	2022-10-28	available	Long term	furnished	2022-10-27
235	128216222	Rightmove	Kensington and Chelsea	furnished	Studio	41.0	0.0	1.0	2550.0	62.2	2550.0	2022-10-28	available	Long term	furnished	2022-10-27
236	127827065	Rightmove	Lambeth	unfurnished	Flat		3.0	1.0	2200.0		733.33	2022-10-28	available	Long term	unfurnished	2022-10-27
237	127244081	Rightmove	Camden	furnished	Flat		3.0	3.0	10812.0		3604.0	2022-10-28	available	Long term	flexible	2022-10-27
238	128104310	Rightmove	City of Westminster	furnished	Apartment		1.0	1.0	3077.0		3077.0	2022-11-27	occupied	Long term	furnished	2022-10-27
239	90435043	Rightmove	Tower Hamlets	furnished	Apartment	164.0	3.0	3.0	7000.0	42.68	2333.33	2022-10-28	available	Long term	furnished	2022-10-27
240	127011098	Rightmove	Lambeth	furnished	Flat		2.0	2.0	2250.0		1125.0	2022-10-28	occupied	Long term	flexible	2022-10-27
241	128404499	Rightmove	Kensington and Chelsea	furnished	Flat	80.0	1.0	1.0	2600.0	32.5	2600.0		occupied	Long term	furnished	2022-10-27
242	126214259	Rightmove	Hammersmith and Fulham	furnished	Flat		3.0	2.0	4600.0		1533.33	2022-10-28	available	Long term	furnished	2022-10-27
243	119102399	Rightmove	Hammersmith and Fulham	furnished	Apartment	98.0	3.0	3.0	5720.0	58.37	1906.67	2022-10-28	available	Long term	furnished	2022-10-27
244	641808	Spotahome	City of Westminster	furnished	Studio		0.0		3915.0		3915.0	2023-01-01	occupied		furnished	2022-10-27
245	128245931	Rightmove	Tower Hamlets	furnished	Studio		0.0	1.0	2123.0		2123.0	2022-11-08	occupied	Long term	furnished	2022-10-27
246	127244651	Rightmove	Hackney	unfurnished	Flat	57.0	2.0	1.0	2100.0	36.84	1050.0		occupied	Long term	unfurnished	2022-10-27
247	102944711	Rightmove	Hammersmith and Fulham	furnished	Apartment	97.0	3.0	3.0	3813.0	39.31	1271.0		occupied	Long term	furnished	2022-10-27
248	128298923	Rightmove	Tower Hamlets	furnished	Apartment		1.0	1.0	1950.0		1950.0	2022-12-03	occupied	Long term	furnished	2022-10-27
249	126136199	Rightmove	Camden	unfurnished	Flat	35.0	1.0		1712.0	48.91	1712.0		occupied	Long term	unfurnished	2022-10-27
250	913554	Spotahome	Tower Hamlets	furnished	Apartment		1.0	1.0	3600.0		3600.0	2022-10-30	occupied		furnished	2022-10-27
251	128391644	Rightmove	Hammersmith and Fulham	furnished	Flat		2.0	1.0	2383.0		1191.5		occupied	Long term	furnished	2022-10-27
252	127781258	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	2210.0		2210.0		occupied	Long term	furnished	2022-10-27
253	127975271	Rightmove	Camden	furnished	Flat		3.0	2.0	6067.0		2022.33	2022-11-01	occupied	Long term	flexible	2022-10-27
254	127978355	Rightmove	City of Westminster	furnished	Flat		2.0	2.0	5980.0		2990.0	2022-11-05	occupied	Long term	furnished	2022-10-27
255	428642	Spotahome	Islington	furnished	Apartment		2.0		5763.0		2881.5	2023-01-04	occupied		furnished	2022-10-27
256	128027627	Rightmove	Islington	unfurnished	Apartment		2.0	1.0	3445.0		1722.5	2022-12-29	occupied	Long term	part furnished	2022-10-27
257	128448359	Rightmove	Kensington and Chelsea	unfurnished	Flat		3.0	2.0	3250.0		1083.33		occupied	Long term	unfurnished	2022-10-27
258	128423900	Rightmove	Tower Hamlets	furnished	Apartment		1.0	1.0	1650.0		1650.0	2023-01-17	occupied	Long term	furnished	2022-10-27
259	125907023	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	3850.0		1925.0	2022-10-28	available	Long term	furnished	2022-10-27
260	470968	Spotahome	Tower Hamlets	furnished	Apartment		3.0	2.0	6500.0		2166.67	2023-02-03	occupied		furnished	2022-10-27
261	128300822	Rightmove	Tower Hamlets	unfurnished	Flat	79.0	2.0	1.0	3000.0	37.97	1500.0		occupied	Long term	part furnished	2022-10-27
262	128120603	Rightmove	Tower Hamlets	furnished	Apartment		1.0	1.0	2250.0		2250.0	2022-12-21	occupied	Long term	furnished	2022-10-27
263	128109875	Rightmove	Camden	unfurnished	Flat	126.0	3.0	2.0	5850.0	46.43	1950.0	2022-10-28	available	Long term	unfurnished	2022-10-27
264	127981814	Rightmove	Kensington and Chelsea	furnished	Flat		1.0	1.0	4008.0		4008.0		occupied	Long term	flexible	2022-10-27
265	128182361	Rightmove	Kensington and Chelsea	furnished	Penthouse		3.0	3.0	17333.0		5777.67		occupied	Long term	furnished	2022-10-27
266	297811	Spotahome	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	7250.0		3625.0	2023-03-24	occupied		furnished	2022-10-27
267	127704599	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	1.0	3467.0		1733.5	2022-12-02	occupied	Long term	furnished	2022-10-27
268	127767536	Rightmove	Kensington and Chelsea	furnished	Flat	99.0	2.0	1.0	3684.0	37.21	1842.0		occupied	Long term	furnished	2022-10-27
269	128291024	Rightmove	Camden	unfurnished	Flat		3.0	2.0	10833.0		3611.0		occupied	Long term	unfurnished	2022-10-27
270	752859	Spotahome	Tower Hamlets	furnished	Apartment		2.0	1.0	3599.0		1799.5	2022-12-19	occupied		furnished	2022-10-27
271	128388686	Rightmove	Kensington and Chelsea	unfurnished	Flat		1.0	1.0	2492.0		2492.0		occupied	Long term	unfurnished	2022-10-27
272	128439662	Rightmove	City of Westminster	furnished	Flat		2.0	1.0	3683.0		1841.5	2022-12-06	occupied	Long term	furnished	2022-10-27
273	345180	Spotahome	Kensington and Chelsea	furnished	Studio		0.0	1.0	2300.0		2300.0	2023-02-12	occupied		furnished	2022-10-27
274	128212598	Rightmove	Hackney	furnished	Penthouse		2.0	2.0	3350.0		1675.0	2022-11-01	occupied	Long term	furnished	2022-10-27
275	128388290	Rightmove	Camden	unfurnished	Flat		1.0	1.0	1907.0		1907.0	2022-11-29	occupied	Long term	part furnished	2022-10-27
276	128234861	Rightmove	City of Westminster	unfurnished	Flat		3.0	2.0	12000.0		4000.0	2022-12-17	occupied	Short term	unfurnished	2022-10-27
277	127857653	Rightmove	Camden	unfurnished	Flat	89.0	2.0	2.0	2925.0	32.87	1462.5		occupied	Long term	unfurnished	2022-10-27
278	126560690	Rightmove	Tower Hamlets	unfurnished	Apartment		2.0	1.0	2425.0		1212.5	2022-10-28	available	Long term	unfurnished	2022-10-27
279	641950	Spotahome	Camden	furnished	Studio		0.0		2684.0		2684.0	2022-12-16	occupied		furnished	2022-10-27
280	152	Blueground	Kensington and Chelsea	furnished	Apartment	47.01	1.0	1.0	3850.0	81.91	3850.0	2022-12-13	occupied		furnished	2022-10-27
281	128469743	Rightmove	City of Westminster	furnished	Flat		3.0	4.0	54167.0		18055.67		occupied	Long term	furnished	2022-10-27
282	127982267	Rightmove	Tower Hamlets	furnished	Flat		3.0	2.0	6912.0		2304.0	2022-10-28	available	Long term	furnished	2022-10-27
283	128435396	Rightmove	Islington	furnished	Apartment		1.0	1.0	2200.0		2200.0	2022-11-05	occupied	Long term	furnished	2022-10-27
284	127926089	Rightmove	Tower Hamlets	furnished	Flat		3.0	1.0	2200.0		733.33	2022-12-03	occupied	Long term	flexible	2022-10-27
285	127931840	Rightmove	City of Westminster	furnished	Apartment		3.0	3.0	6500.0		2166.67	2022-10-28	available	Long term	furnished	2022-10-27
286	127901840	Rightmove	Hammersmith and Fulham	unfurnished	Flat		3.0	3.0	6500.0		2166.67		occupied	Long term	unfurnished	2022-10-27
287	73703943	Rightmove	Islington	unfurnished	Flat		1.0		1300.0		1300.0	2022-12-06	occupied	Long term	part furnished	2022-10-27
288	128295227	Rightmove	Tower Hamlets	furnished	Apartment		1.0	1.0	2600.0		2600.0		occupied	Long term	furnished	2022-10-27
289	128102477	Rightmove	Lambeth	furnished	Flat		2.0	2.0	2600.0		1300.0	2022-11-05	occupied	Long term	furnished	2022-10-27
290	83144642	Rightmove	Kensington and Chelsea	furnished	Apartment	90.0	2.0	2.0	4745.0	52.72	2372.5	2022-11-30	occupied	Long term	flexible	2022-10-27
291	128312018	Rightmove	Hammersmith and Fulham	furnished	Flat		2.0	2.0	3987.0		1993.5	2022-11-01	occupied	Short term	furnished	2022-10-27
292	128235467	Rightmove	City of Westminster	furnished	Flat		2.0	2.0	9100.0		4550.0	2022-12-04	occupied	Long term	flexible	2022-10-27
293	128098739	Rightmove	Hammersmith and Fulham	unfurnished	Flat		2.0	1.0	2750.0		1375.0	2022-12-15	occupied	Long term	unfurnished	2022-10-27
294	895516	Spotahome	Hackney	furnished	Apartment	48.0	1.0	1.0	5272.5	109.83	5272.0	2022-12-13	occupied		furnished	2022-10-27
295	127463096	Rightmove	Lambeth	furnished	Flat		2.0	1.0	1850.0		925.0	2022-11-05	occupied	Long term	furnished	2022-10-27
296	127560746	Rightmove	Hammersmith and Fulham	unfurnished	Flat	48.0	2.0	1.0	2396.0	49.92	1198.0		occupied	Long term	unfurnished	2022-10-27
297	125431556	Rightmove	City of Westminster	furnished	Apartment		2.0	2.0	4550.0		2275.0	2022-10-28	available	Long term	flexible	2022-10-27
298	128012294	Rightmove	Camden	furnished	Apartment		2.0	2.0	2925.0		1462.5	2022-10-28	available	Long term	flexible	2022-10-27
299	128120492	Rightmove	Tower Hamlets	furnished	Flat		2.0	2.0	3575.0		1787.5		occupied	Long term	furnished	2022-10-27
300	127967732	Rightmove	Kensington and Chelsea	furnished	Apartment	104.0	2.0	2.0	15167.0	145.84	7583.5	2022-10-28	available	Long term	furnished	2022-10-27
301	612043	Spotahome	City of Westminster	furnished	Studio	24.0	0.0	1.0	3000.0	125.0	3000.0	2023-12-21	occupied		furnished	2022-10-27
302	127210133	Rightmove	Hammersmith and Fulham	furnished	Penthouse	83.0	2.0	2.0	5720.0	68.92	2860.0	2022-10-28	available	Long term	flexible	2022-10-27
